gene_set,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Downregulated advanced-passage signature,,,mmu04820,Cytoskeleton in muscle cells - Mus musculus (house mouse),57/359,207/5932,0.27536231884058,4.54999798151064,13.1944775377396,0.00000000000000000000000846513932625462,0.00000000000000000000247182068326635,0.00000000000000000000232568564647627,16421/11474/98660/16773/13179/68802/17883/17929/56642/16404/13346/21956/21952/17996/16420/16401/241431/16403/59006/21916/93677/12715/13009/17907/71960/21953/17930/53318/50876/17882/24053/242702/233199/53311/320502/13405/18175/22138/11472/140781/74103/54132/57778/17879/17884/20649/381485/17896/380698/21957/17901/58522/21955/59011/668940/22437/21924,57
Downregulated advanced-passage signature,Human Diseases,Cardiovascular disease,mmu05410,Hypertrophic cardiomyopathy - Mus musculus (house mouse),19/359,79/5932,0.240506329113924,3.97404886992701,6.75365775847409,0.000000138251836569979,0.0000166845549922393,0.0000156981573647241,16421/241113/16773/12295/16404/13346/12292/21956/16420/16401/16403/11937/24053/13405/22138/140781/20649/12391/21924,19
Downregulated advanced-passage signature,Human Diseases,Cardiovascular disease,mmu05414,Dilated cardiomyopathy - Mus musculus (house mouse),19/359,80/5932,0.2375,3.92437325905292,6.68332073443701,0.000000171416660879171,0.0000166845549922393,0.0000156981573647241,16421/16773/12295/16404/13346/12292/21956/16420/16401/16403/11937/11554/24053/13405/22138/140781/20649/12391/21924,19
Downregulated advanced-passage signature,Human Diseases,Cardiovascular disease,mmu05412,Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),16/359,66/5932,0.242424242424242,4.00573984975099,6.23187871385989,0.00000122304308717067,0.0000892821453634588,0.0000840037488819854,16421/11474/16773/12295/16404/13346/12292/16420/16401/16403/11937/24053/13405/11472/20649/12391,16
Downregulated advanced-passage signature,Environmental Information Processing,Signaling molecules and interaction,mmu04080,Neuroactive ligand-receptor interaction - Mus musculus (house mouse),22/359,118/5932,0.186440677966102,3.08068552004155,5.79397476754837,0.00000163990975668968,0.0000957707297906772,0.0000901087255781065,11541/11540/14799/14063/11447/11449/14061/14658/381853/12424/11554/19219/11443/11539/13609/15551/320343/16847/14811/54598/385643/13610,22
Downregulated advanced-passage signature,Environmental Information Processing,Signaling molecules and interaction,mmu04514,Cell adhesion molecule (CAM) interaction - Mus musculus (house mouse),15/359,76/5932,0.197368421052632,3.26125201583346,5.03525992210122,0.0000380741982241265,0.00185294431357416,0.00174339749763106,16415/12550/16421/60533/21939/12737/207683/16401/16403/16728/12555/12738/18191/100043314/12519,15
Downregulated advanced-passage signature,Environmental Information Processing,Signal transduction,mmu04024,cAMP signaling pathway - Mus musculus (house mouse),21/359,139/5932,0.151079136690647,2.49638283801928,4.53069700535647,0.0000797226656790476,0.00332557405404027,0.00312896477326788,20682/98660/67972/11540/14799/64082/23984/106952/12322/12292/18160/381853/11937/333329/11554/11539/15551/231991/66922/14811/15245,21
Downregulated advanced-passage signature,Cellular Processes,Cell motility,mmu04814,Motor proteins - Mus musculus (house mouse),22/359,151/5932,0.145695364238411,2.40742312162187,4.4460908759487,0.000094334427608627,0.00344320660771488,0.00323964284287522,286942/17912/17883/17922/21956/21952/13426/17907/71960/21953/17882/216459/140781/17879/17884/17896/21957/17901/22152/21955/668940/21924,22
Downregulated advanced-passage signature,Human Diseases,Cardiovascular disease,mmu05416,Viral myocarditis - Mus musculus (house mouse),11/359,54/5932,0.203703703703704,3.36593417930465,4.43252722882732,0.000309714584699215,0.0100485176369079,0.00945444521713394,16415/21939/14360/16773/13136/24053/13405/140781/20649/12391/12519,11
Downregulated advanced-passage signature,Environmental Information Processing,Signal transduction,mmu04020,Calcium signaling pathway - Mus musculus (house mouse),21/359,158/5932,0.132911392405063,2.19618490180177,3.86772096843519,0.000495114249648058,0.0144573360897233,0.0136026125429624,13867/11541/67972/11540/18574/12322/14675/12292/12373/14176/14254/21802/20190/11937/71785/234779/11554/15464/238564/14811/21924,21
Downregulated advanced-passage signature,Environmental Information Processing,Signaling molecules and interaction,mmu04512,ECM-receptor interaction - Mus musculus (house mouse),12/359,70/5932,0.171428571428571,2.83263032232392,3.91442201956067,0.000875945614189774,0.0232523744857649,0.0218776847180413,16421/12505/16773/16404/16782/16420/16401/16403/13406/114249/64176/329872,12
Downregulated advanced-passage signature,,,mmu04081,Hormone signaling - Mus musculus (house mouse),15/359,107/5932,0.14018691588785,2.31640330096582,3.48738223922582,0.00181267513205351,0.044108428213302,0.0415007201285934,16334/54409/72472/21832/14675/18160/18158/381853/244698/12424/66066/11554/14710/19091/16847,15
Upregulated advanced-passage signature,,,mmu04082,Neuroactive ligand signaling - Mus musculus (house mouse),15/260,84/5932,0.178571428571429,4.07417582417582,6.07501268143338,0.00000275713121408163,0.000514189448361256,0.000428575044026404,20512/14706/11423/15566/15559/11550/15558/110304/15560/14702/18619/18795/20538/14677/15552,15
Upregulated advanced-passage signature,Human Diseases,Cancer: overview,mmu05200,Pathways in cancer - Mus musculus (house mouse),39/260,422/5932,0.0924170616113744,2.1085308056872,5.058371448536,0.0000051170753127419,0.000514189448361256,0.000428575044026404,12006/14871/56615/218772/170758/16775/16000/21809/14706/13614/19206/14165/12159/14368/22410/18596/14102/16452/16449/22419/14183/94216/22341/16168/17390/22417/21808/16196/14702/14362/11835/14633/209590/78134/18795/14677/20315/12983/12984,39
Upregulated advanced-passage signature,Organismal Systems,Digestive system,mmu04974,Protein digestion and absorption - Mus musculus (house mouse),12/260,58/5932,0.206896551724138,4.72042440318302,6.09567824323549,0.0000057344548144378,0.000514189448361256,0.000428575044026404,12833/12842/12834/12832/12814/12843/94216/12816/373864/329941/12837/665033,12
Upregulated advanced-passage signature,Environmental Information Processing,Signaling molecules and interaction,mmu04080,Neuroactive ligand-receptor interaction - Mus musculus (house mouse),17/260,118/5932,0.14406779661017,3.28696219035202,5.3721112704002,0.0000124795716140013,0.000751577473413466,0.000626437103647303,22355/13614/15566/15559/11550/19220/116903/15558/30878/110304/14803/15560/18619/78134/207911/213438/15552,17
Upregulated advanced-passage signature,,,mmu04081,Hormone signaling - Mus musculus (house mouse),16/260,107/5932,0.149532710280374,3.41164629762761,5.38939557639229,0.0000139698415132615,0.000751577473413466,0.000626437103647303,22355/16000/14706/18162/16452/53945/11550/55994/230103/18125/116903/14702/18619/207911/18795/14677,16
Upregulated advanced-passage signature,Environmental Information Processing,Signaling molecules and interaction,mmu04060,Cytokine-cytokine receptor interaction - Mus musculus (house mouse),18/260,134/5932,0.134328358208955,3.06475315729047,5.17563877026985,0.0000185840031236636,0.000833182806710919,0.000694454853568483,21809/12159/94185/14102/14825/17329/16165/16168/21808/16196/57890/209590/16880/20315/18383/12983/12984/252837,18
Upregulated advanced-passage signature,Environmental Information Processing,Signaling molecules and interaction,mmu04512,ECM-receptor interaction - Mus musculus (house mouse),12/260,70/5932,0.171428571428571,3.91120879120879,5.24544082385989,0.0000427470968115822,0.00164270986318795,0.00136919272494241,12833/12842/16775/12834/329278/12843/94216/12845/319480/21825/109700/665033,12
Upregulated advanced-passage signature,Organismal Systems,Nervous system,mmu04726,Serotonergic synapse - Mus musculus (house mouse),12/260,71/5932,0.169014084507042,3.85612134344529,5.18325402076068,0.0000494668309091164,0.00166332218931904,0.00138637302416339,12289/11688/14706/15566/15559/12286/15558/15560/14702/18795/14677/15552,12
Upregulated advanced-passage signature,,,mmu04518,Integrin signaling - Mus musculus (house mouse),16/260,124/5932,0.129032258064516,2.9439205955335,4.68337124059633,0.0000894420542987273,0.00267332362292863,0.00222820556323145,12833/12842/170758/16775/16000/12834/18596/329278/12843/94216/22341/12845/319480/21825/109700/665033,16
Upregulated advanced-passage signature,Environmental Information Processing,Signal transduction,mmu04310,Wnt signaling pathway - Mus musculus (house mouse),17/260,143/5932,0.118881118881119,2.71231845077999,4.43744829011972,0.000151777469504916,0.00408281392968224,0.00340301063205759,12006/170758/72780/14160/72293/14368/22410/68010/20319/22419/26563/22417/77583/14362/18795/239405/328949,17
Upregulated advanced-passage signature,Environmental Information Processing,Signal transduction,mmu04020,Calcium signaling pathway - Mus musculus (house mouse),18/260,158/5932,0.113924050632911,2.59922103213242,4.36195490465538,0.000168435063322276,0.00411900291215383,0.00343317401795643,12289/76757/12291/14165/18596/15566/15559/11550/19220/18125/14183/22341/213435/12286/15558/15560/18795/20192,18
Upregulated advanced-passage signature,Cellular Processes,Cellular community - eukaryotes,mmu04510,Focal adhesion - Mus musculus (house mouse),19/260,176/5932,0.107954545454545,2.46302447552448,4.21822807494387,0.000226897515081077,0.00508628596306747,0.00423940093967275,12833/12842/12389/170758/16775/16000/12834/18596/329278/12843/94216/18481/22341/213435/12845/319480/21825/109700/665033,19
