sample,passage,day_numeric,day,replicate,PC1,PC2,PC3,PC4,PC5,total_normalized_count,detected_genes,median_log2_expression
Early_Passage_D0_R01,Early Passage,0,D0,1,-68.3167643138618,-36.8397021810122,-12.8472069486267,-9.46321415463285,9.85944030298199,18538133.9876959,21163,1.99706833596378
Early_Passage_D0_R02,Early Passage,0,D0,2,-68.0732892040029,-36.5814343296311,-11.6269826162322,-10.9347872328732,10.414241836457,18772331.9565796,20786,1.62269139335218
Early_Passage_D0_R03,Early Passage,0,D0,3,-68.6445388708203,-35.9483609356658,-12.1406791905403,-11.6251771763296,10.1727361058539,18934078.2597902,20941,2.01591007594221
Early_Passage_D1_R01,Early Passage,1,D1,1,-14.4910188236756,-34.7974638357617,23.0464857789307,2.71152697060702,6.92958924282482,16970496.0693423,21783,1.97576424194408
Early_Passage_D1_R02,Early Passage,1,D1,2,-15.7178810044443,-36.2493170120774,21.7715429877457,3.59808847577638,7.32887067715155,16987203.3755189,22182,2.08397721836269
Early_Passage_D1_R03,Early Passage,1,D1,3,-14.4077883445259,-36.3615217642107,22.0685638909135,3.23459943980509,7.26135762436509,17117511.6684132,21628,2.0079875346746
Early_Passage_D2_R01,Early Passage,2,D2,1,32.434273387141,-39.2817586834619,12.9074652869691,15.1697191042356,3.92428457269699,17662870.6306495,21978,1.95611081629453
Early_Passage_D2_R02,Early Passage,2,D2,2,31.3315052901453,-40.0821868315239,13.7341254632956,15.3126530580916,4.49358860068024,17795973.3025486,21664,1.94213441141277
Early_Passage_D2_R03,Early Passage,2,D2,3,31.7606391897876,-39.73452840662,13.7838823232018,15.9056250806568,3.86127514619022,17650504.0525732,21846,1.98718183888145
Early_Passage_D6_R01,Early Passage,6,D6,1,78.5194937933128,-31.0667508514259,-15.1189513270319,1.47928593067135,-12.9405083816349,17880971.287141,22654,2.25334260146828
Early_Passage_D6_R02,Early Passage,6,D6,2,78.332731598635,-31.3385393559603,-15.4906481462059,1.64776915172183,-13.5525261717459,17989659.0006243,22306,2.30224873182481
Early_Passage_D6_R03,Early Passage,6,D6,3,78.4060537149176,-30.0989373930311,-16.3000153290566,1.20746055046396,-12.6001299413507,17859816.6703079,22575,2.21222860237003
Middle_Passage_D0_R01,Middle Passage,0,D0,1,-67.8232005279897,-8.40880273721077,-16.2438795975623,-4.7665804743611,-3.65676979229777,18300789.2781289,21019,2.05220287251653
Middle_Passage_D0_R02,Middle Passage,0,D0,2,-67.3317568732074,-8.91527125453233,-16.0281829541452,-5.24481240829321,-3.83776055241707,18263084.7617402,21443,1.89180494763661
Middle_Passage_D0_R03,Middle Passage,0,D0,3,-68.670424856286,-8.53323929309187,-16.8703616121614,-4.88863830390953,-4.2870892270831,18050273.7964613,20927,1.64923827745352
Middle_Passage_D1_R01,Middle Passage,1,D1,1,-20.283518361608,7.81765563558195,21.8019826638074,-9.75971121331189,-8.41920747678628,17008540.3302172,21584,1.94889946652273
