sample,passage,day_numeric,day,replicate
Early_Passage_D0_R01,Early Passage,0,D0,1
Early_Passage_D0_R02,Early Passage,0,D0,2
Early_Passage_D0_R03,Early Passage,0,D0,3
Early_Passage_D1_R01,Early Passage,1,D1,1
Early_Passage_D1_R02,Early Passage,1,D1,2
Early_Passage_D1_R03,Early Passage,1,D1,3
Early_Passage_D2_R01,Early Passage,2,D2,1
Early_Passage_D2_R02,Early Passage,2,D2,2
Early_Passage_D2_R03,Early Passage,2,D2,3
Early_Passage_D6_R01,Early Passage,6,D6,1
Early_Passage_D6_R02,Early Passage,6,D6,2
Early_Passage_D6_R03,Early Passage,6,D6,3
Middle_Passage_D0_R01,Middle Passage,0,D0,1
Middle_Passage_D0_R02,Middle Passage,0,D0,2
Middle_Passage_D0_R03,Middle Passage,0,D0,3
Middle_Passage_D1_R01,Middle Passage,1,D1,1
Middle_Passage_D1_R02,Middle Passage,1,D1,2
Middle_Passage_D1_R03,Middle Passage,1,D1,3
Middle_Passage_D2_R01,Middle Passage,2,D2,1
Middle_Passage_D2_R02,Middle Passage,2,D2,2
Middle_Passage_D2_R03,Middle Passage,2,D2,3
Middle_Passage_D6_R01,Middle Passage,6,D6,1
Middle_Passage_D6_R02,Middle Passage,6,D6,2
Middle_Passage_D6_R03,Middle Passage,6,D6,3
Late_Passage_D0_R01,Late Passage,0,D0,1
Late_Passage_D0_R02,Late Passage,0,D0,2
Late_Passage_D0_R03,Late Passage,0,D0,3
Late_Passage_D1_R01,Late Passage,1,D1,1
Late_Passage_D1_R02,Late Passage,1,D1,2
Late_Passage_D1_R03,Late Passage,1,D1,3
Late_Passage_D2_R01,Late Passage,2,D2,1
Late_Passage_D2_R02,Late Passage,2,D2,2
Late_Passage_D2_R03,Late Passage,2,D2,3
Late_Passage_D6_R01,Late Passage,6,D6,1
Late_Passage_D6_R02,Late Passage,6,D6,2
Late_Passage_D6_R03,Late Passage,6,D6,3
