ensembl_gene_id,symbol,average_log2_expression,joint_F,joint_p_value,joint_fdr,average_post_log2FC,average_post_t,average_post_p_value,average_post_fdr,Middle_vs_Early_D1,Late_vs_Early_D1,Middle_vs_Early_D2,Late_vs_Early_D2,Middle_vs_Early_D6,Late_vs_Early_D6,mean_Middle_vs_Early_log2FC,mean_Late_vs_Early_log2FC,average_fold_change_ratio,average_two_fold_pass,positive_contrasts,negative_contrasts,trajectory_direction,all_six_same_direction,joint_selected,post_selected,absolute_average_post_log2FC,post_rank,expression_filter_pass
ENSMUSG00000000037,Scml2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000049,Apoh,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000093,Tbx2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000125,Wnt3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000154,Slc22a18,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000182,Fgf23,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000204,Slfn4,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000263,Glra1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000305,Cdh4,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000308,Ckmt1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000318,Clec10a,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000320,Alox12,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000365,Rnf17,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000381,Wap,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000385,Tmprss2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000386,Mx1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000394,Gcg,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000402,Egfl6,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000411,Tssk3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000416,Cttnbp2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000530,Acvrl1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000544,Gpa33,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000560,Gabra2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000562,Adora3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000617,Grm6,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000632,Sez6,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000673,Haao,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000682,Cd52,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000701,Tcl1b5,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000706,Btn1a1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000724,Cryba1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000730,Dnmt3l,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000731,Aire,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000732,Icosl,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000739,Sult5a1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000766,Oprm1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000817,Fasl,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000000903,Vpreb3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001023,S100a5,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001029,Icam2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001076,C1ql4,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001095,Slc13a2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001103,Sebox,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001155,Ftcd,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001166,Oas1c,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001225,Slc26a3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001247,Lsr,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001249,Hpn,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001260,Gabrg1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001348,Acp5,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001444,Tbx21,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001493,Meox1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001497,Pax9,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001583,Tnk1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001672,Marveld3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001773,Folh1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001802,Lrp3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001804,Dsg4,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001827,Folr1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001943,Vsig2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001946,Esam,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001948,Spa17,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000001988,Npas1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000002012,Pnck,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000002033,Cd3g,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000002100,Mybpc3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000002111,Spi1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000002190,Clgn,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000002204,Napsa,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000002228,Ppm1j,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000002324,Rec8,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000002341,Ncan,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000002500,Rpl3l,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000002565,Scin,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000002578,Ikzf4,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000002664,Pspn,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000002668,Dennd1c,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000002699,Lcp2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000002769,Gnmt,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000002791,Pdxk-ps,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003051,Elf3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003206,Ebi3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003227,Edar,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003271,Sult2b1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003283,Hck,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003309,Ap1m2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003341,Atp8b3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003379,Cd79a,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003410,Elavl3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003418,St8sia6,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003436,Dll3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003469,Phyhip,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003476,Crhr2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003477,Inmt,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003484,Cyp4f18,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003505,Psg18,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003555,Cyp17a1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003872,Lin7b,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000003882,Il7r,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004031,Brinp2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004038,Gstm3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004110,Cacna1e,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004296,Il12b,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004328,Hif3a,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004341,Gpx6,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004347,Pde1c,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004415,Col26a1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004552,Ctse,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004612,Nkg7,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004630,Pcp2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004654,Ghrhr,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004668,Abca13,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004707,Ly9,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004709,Cd244,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004730,Adgre1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004837,Grap,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004842,Pou1f1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004864,Mapk13,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004872,Pax3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004892,Bcan,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004894,Hapln2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004948,Zp3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000004961,Syt5,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005131,4930550C14Rik,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005202,Shbg,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005220,Corin,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005232,G6pc2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005251,Ripk4,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005268,Prlr,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005338,Cadm3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005357,Slc1a6,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005364,Il5ra,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005373,Mlxipl,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005474,Myl10,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005540,Fcer2a,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005553,Atp4a,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005649,Cabp5,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005677,Nr1i3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005705,Agrp,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005763,Cd247,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005864,Cnga2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005883,Spo11,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005952,Trpv1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000005994,Tyrp1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000006007,Pdc,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000006056,Calcoco2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000006143,Upk3bl,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000006216,Clcnkb,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000006269,Atp6v1b1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000006310,Zbtb32,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000006311,Etv2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000006313,Upk1a,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000006342,Susd2,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000006344,Ggt5,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000006345,Ggt1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000006411,Nectin4,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000006488,Prl7a1,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000006519,Cyba,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000006522,Itih3,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
ENSMUSG00000006538,Ihh,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
