category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
,,mmu04820,Cytoskeleton in muscle cells - Mus musculus (house mouse),57/359,207/5932,0.27536231884058,4.54999798151064,13.1944775377396,0.00000000000000000000000846513932625462,0.00000000000000000000247182068326635,0.00000000000000000000232568564647627,16421/11474/98660/16773/13179/68802/17883/17929/56642/16404/13346/21956/21952/17996/16420/16401/241431/16403/59006/21916/93677/12715/13009/17907/71960/21953/17930/53318/50876/17882/24053/242702/233199/53311/320502/13405/18175/22138/11472/140781/74103/54132/57778/17879/17884/20649/381485/17896/380698/21957/17901/58522/21955/59011/668940/22437/21924,57,Downregulated advanced-passage signature
Human Diseases,Cardiovascular disease,mmu05410,Hypertrophic cardiomyopathy - Mus musculus (house mouse),19/359,79/5932,0.240506329113924,3.97404886992701,6.75365775847409,0.000000138251836569979,0.0000166845549922393,0.0000156981573647241,16421/241113/16773/12295/16404/13346/12292/21956/16420/16401/16403/11937/24053/13405/22138/140781/20649/12391/21924,19,Downregulated advanced-passage signature
Human Diseases,Cardiovascular disease,mmu05414,Dilated cardiomyopathy - Mus musculus (house mouse),19/359,80/5932,0.2375,3.92437325905292,6.68332073443701,0.000000171416660879171,0.0000166845549922393,0.0000156981573647241,16421/16773/12295/16404/13346/12292/21956/16420/16401/16403/11937/11554/24053/13405/22138/140781/20649/12391/21924,19,Downregulated advanced-passage signature
Human Diseases,Cardiovascular disease,mmu05412,Arrhythmogenic right ventricular cardiomyopathy - Mus musculus (house mouse),16/359,66/5932,0.242424242424242,4.00573984975099,6.23187871385989,0.00000122304308717067,0.0000892821453634588,0.0000840037488819854,16421/11474/16773/12295/16404/13346/12292/16420/16401/16403/11937/24053/13405/11472/20649/12391,16,Downregulated advanced-passage signature
Environmental Information Processing,Signaling molecules and interaction,mmu04080,Neuroactive ligand-receptor interaction - Mus musculus (house mouse),22/359,118/5932,0.186440677966102,3.08068552004155,5.79397476754837,0.00000163990975668968,0.0000957707297906772,0.0000901087255781065,11541/11540/14799/14063/11447/11449/14061/14658/381853/12424/11554/19219/11443/11539/13609/15551/320343/16847/14811/54598/385643/13610,22,Downregulated advanced-passage signature
Environmental Information Processing,Signaling molecules and interaction,mmu04514,Cell adhesion molecule (CAM) interaction - Mus musculus (house mouse),15/359,76/5932,0.197368421052632,3.26125201583346,5.03525992210122,0.0000380741982241265,0.00185294431357416,0.00174339749763106,16415/12550/16421/60533/21939/12737/207683/16401/16403/16728/12555/12738/18191/100043314/12519,15,Downregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04024,cAMP signaling pathway - Mus musculus (house mouse),21/359,139/5932,0.151079136690647,2.49638283801928,4.53069700535647,0.0000797226656790476,0.00332557405404027,0.00312896477326788,20682/98660/67972/11540/14799/64082/23984/106952/12322/12292/18160/381853/11937/333329/11554/11539/15551/231991/66922/14811/15245,21,Downregulated advanced-passage signature
Cellular Processes,Cell motility,mmu04814,Motor proteins - Mus musculus (house mouse),22/359,151/5932,0.145695364238411,2.40742312162187,4.4460908759487,0.000094334427608627,0.00344320660771488,0.00323964284287522,286942/17912/17883/17922/21956/21952/13426/17907/71960/21953/17882/216459/140781/17879/17884/17896/21957/17901/22152/21955/668940/21924,22,Downregulated advanced-passage signature
Human Diseases,Cardiovascular disease,mmu05416,Viral myocarditis - Mus musculus (house mouse),11/359,54/5932,0.203703703703704,3.36593417930465,4.43252722882732,0.000309714584699215,0.0100485176369079,0.00945444521713394,16415/21939/14360/16773/13136/24053/13405/140781/20649/12391/12519,11,Downregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04020,Calcium signaling pathway - Mus musculus (house mouse),21/359,158/5932,0.132911392405063,2.19618490180177,3.86772096843519,0.000495114249648058,0.0144573360897233,0.0136026125429624,13867/11541/67972/11540/18574/12322/14675/12292/12373/14176/14254/21802/20190/11937/71785/234779/11554/15464/238564/14811/21924,21,Downregulated advanced-passage signature
Environmental Information Processing,Signaling molecules and interaction,mmu04512,ECM-receptor interaction - Mus musculus (house mouse),12/359,70/5932,0.171428571428571,2.83263032232392,3.91442201956067,0.000875945614189774,0.0232523744857649,0.0218776847180413,16421/12505/16773/16404/16782/16420/16401/16403/13406/114249/64176/329872,12,Downregulated advanced-passage signature
,,mmu04081,Hormone signaling - Mus musculus (house mouse),15/359,107/5932,0.14018691588785,2.31640330096582,3.48738223922582,0.00181267513205351,0.044108428213302,0.0415007201285934,16334/54409/72472/21832/14675/18160/18158/381853/244698/12424/66066/11554/14710/19091/16847,15,Downregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04022,cGMP-PKG signaling pathway - Mus musculus (house mouse),16/359,121/5932,0.132231404958678,2.18494900895509,3.34220876859411,0.00239737052609941,0.0538486302785405,0.0506650775151372,16334/17260/98660/67972/12292/18160/18158/11937/333329/11554/11539/238564/19091/231991/140781/385643,16,Downregulated advanced-passage signature
Environmental Information Processing,Signaling molecules and interaction,mmu04060,Cytokine-cytokine receptor interaction - Mus musculus (house mouse),17/359,134/5932,0.126865671641791,2.09628736540141,3.25764958934813,0.00277800084188009,0.0548919474747718,0.051646713377489,12164/50905/21939/66102/16180/21832/55985/53603/16174/16181/12804/60504/12163/16173/215257/12778/16847,17,Downregulated advanced-passage signature
,,mmu04518,Integrin signaling - Mus musculus (house mouse),16/359,124/5932,0.129032258064516,2.13208733938359,3.23328611351203,0.00308503440559335,0.0548919474747718,0.051646713377489,16415/12444/12550/16421/16773/16404/16782/16420/16401/16403/13406/14254/71785/12445/114249/329872,16,Downregulated advanced-passage signature
Organismal Systems,Circulatory system,mmu04261,Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse),15/359,113/5932,0.132743362831858,2.19340843542781,3.25065449091421,0.00312483675894118,0.0548919474747718,0.051646713377489,98660/67972/12295/64082/72930/12322/12292/21956/11937/20272/11554/231991/140781/17896/21924,15,Downregulated advanced-passage signature
Organismal Systems,Immune system,mmu04610,Complement and coagulation cascades - Mus musculus (house mouse),8/359,42/5932,0.19047619047619,3.14736702480435,3.54437726642031,0.00319576406531206,0.0548919474747718,0.051646713377489,16415/18792/15160/12258/13136/14061/385643/18788,8,Downregulated advanced-passage signature
,,mmu04517,IgSF CAM signaling - Mus musculus (house mouse),23/359,209/5932,0.110047846889952,1.81839506337381,3.05696830469701,0.00362666114790828,0.0588325030660677,0.0553543017312317,16415/72058/12550/17756/14360/16180/19876/68507/16401/243547/71960/16728/71566/234779/74053/216459/58220/238564/13384/260299/22152/100043314/12519,23,Downregulated advanced-passage signature
Organismal Systems,Circulatory system,mmu04260,Cardiac muscle contraction - Mus musculus (house mouse),10/359,66/5932,0.151515151515152,2.50358740609437,3.11742692942757,0.00585531177694991,0.0881293545663465,0.0829191115422366,98660/12295/12292/21956/12373/11937/15464/140781/17896/21924,10,Downregulated advanced-passage signature
Human Diseases,Cancer: overview,mmu05202,Transcriptional misregulation in cancer - Mus musculus (house mouse),16/359,133/5932,0.120300751879699,1.98781075250801,2.92408289376144,0.00618468344980033,0.0881293545663465,0.0829191115422366,12444/16421/14009/17260/12395/18507/21939/18612/67603/18792/18510/20732/18509/14254/17349/21912,16,Downregulated advanced-passage signature
,,mmu04382,Cornified envelope formation - Mus musculus (house mouse),12/359,88/5932,0.136363636363636,2.25322866548493,3.00596013925238,0.00633807002018245,0.0881293545663465,0.0829191115422366,16669/12737/72930/12821/16782/16403/22234/74127/66166/12738/20753/13512,12,Downregulated advanced-passage signature
Organismal Systems,Circulatory system,mmu04270,Vascular smooth muscle contraction - Mus musculus (house mouse),12/359,93/5932,0.129032258064516,2.13208733938359,2.79266495390815,0.00980330320789572,0.130116569850252,0.122424025706258,54409/11541/11540/18755/12292/18160/18158/71960/216459/238564/19091/54598,12,Downregulated advanced-passage signature
Human Diseases,Infectious disease: parasitic,mmu05143,African trypanosomiasis - Mus musculus (house mouse),4/359,18/5932,0.222222222222222,3.67192819560508,2.88129045236785,0.0205134325907431,0.260431405065086,0.245034595248693,14063/16173/385643/15122,4,Downregulated advanced-passage signature
Organismal Systems,Sensory system,mmu04740,Olfactory transduction - Mus musculus (house mouse),6/359,37/5932,0.162162162162162,2.67951516976587,2.60081554905334,0.0222304556829597,0.270470544142676,0.254480216370722,18574/12322/333329/19091/259144/100043474,6,Downregulated advanced-passage signature
Organismal Systems,Endocrine system,mmu04924,Renin secretion - Mus musculus (house mouse),7/359,49/5932,0.142857142857143,2.36052526860326,2.42701182765671,0.0267262744590548,0.297369836583867,0.279789211782225,18574/12292/18160/11554/19219/11539/99709,7,Downregulated advanced-passage signature
Organismal Systems,Development and regeneration,mmu04360,Axon guidance - Mus musculus (house mouse),16/359,157/5932,0.101910828025478,1.68394159288895,2.2042432128031,0.0273098100652524,0.297369836583867,0.279789211782225,20355/14365/20358/14360/19876/12322/20348/231148/13835/140571/16728/319713/234779/20361/58220/244058,16,Downregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04010,MAPK signaling pathway - Mus musculus (house mouse),22/359,237/5932,0.0928270042194093,1.5338434234806,2.12866770100238,0.0286538909327569,0.297369836583867,0.279789211782225,16334/72349/15507/17260/21687/13867/17762/67603/12295/16180/19252/12292/12531/14176/14254/21802/71785/18218/63953/66922/26408/193740,22,Downregulated advanced-passage signature
,,mmu04082,Neuroactive ligand signaling - Mus musculus (house mouse),10/359,84/5932,0.119047619047619,1.96710439050272,2.26556215157195,0.0293474914920268,0.297369836583867,0.279789211782225,11541/11540/14799/14658/66066/11554/14710/11539/15551/14811,10,Downregulated advanced-passage signature
Organismal Systems,Immune system,mmu04672,Intestinal immune network for IgA production - Mus musculus (house mouse),4/359,20/5932,0.2,3.30473537604457,2.62020648930884,0.0295333056881237,0.297369836583867,0.279789211782225,16421/21939/16401/12519,4,Downregulated advanced-passage signature
Cellular Processes,Cell motility,mmu04810,Regulation of actin cytoskeleton - Mus musculus (house mouse),18/359,186/5932,0.0967741935483871,1.59906550453769,2.10675793706923,0.0316874049246451,0.308424074599879,0.290189918783592,16415/16334/16421/76884/105855/18719/16404/16420/16401/16403/14061/14176/17907/71960/71785/238564/66922/385643,18,Downregulated advanced-passage signature
Organismal Systems,Endocrine system,mmu04911,Insulin secretion - Mus musculus (house mouse),7/359,55/5932,0.127272727272727,2.10301342111927,2.0856957731206,0.0464692162004439,0.437710036468697,0.411832442387635,16334/98660/12322/12292/12424/231991/26875,7,Downregulated advanced-passage signature
Organismal Systems,Sensory system,mmu04742,Taste transduction - Mus musculus (house mouse),4/359,24/5932,0.166666666666667,2.75394614670381,2.18508480482703,0.0536296064591669,0.489370158939898,0.460438397560611,18574/110326/15551/20269,4,Downregulated advanced-passage signature
Cellular Processes,Cellular community - eukaryotes,mmu04510,Focal adhesion - Mus musculus (house mouse),16/359,176/5932,0.0909090909090909,1.50215244365662,1.71631969665822,0.0659326434269471,0.583403996383895,0.548912916568842,12444/16421/14360/16773/18719/16404/16782/16420/16401/16403/14254/17907/71785/12445/238564/12391,16,Downregulated advanced-passage signature
Metabolism,Amino acid metabolism,mmu00340,Histidine metabolism - Mus musculus (house mouse),3/359,16/5932,0.1875,3.09818941504178,2.13283503080915,0.0684393742166884,0.587773449155088,0.553024045528039,67689/15186/621603,3,Downregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04371,Apelin signaling pathway - Mus musculus (house mouse),11/359,111/5932,0.0990990990990991,1.6374814926347,1.72066741900853,0.0714274426771744,0.595908950335284,0.56067857259376,12550/17260/241113/20190/66066/18131/14710/238564/16598/66922/17896,11,Downregulated advanced-passage signature
Cellular Processes,Transport and catabolism,mmu04148,Efferocytosis - Mus musculus (house mouse),12/359,128/5932,0.09375,1.54909470752089,1.59387847450761,0.0855695344123048,0.691709801771178,0.650815639013257,11303/171285/12322/11689/108802/243958/11937/18218/19261/19219/13609/233246,12,Downregulated advanced-passage signature
Organismal Systems,Environmental adaptation,mmu04713,Circadian entrainment - Mus musculus (house mouse),7/359,64/5932,0.109375,1.80727715877437,1.64791293945386,0.0902395390133133,0.691709801771178,0.650815639013257,14799/12322/20190/66066/14710/19091/14811,7,Downregulated advanced-passage signature
Metabolism,Glycan biosynthesis and metabolism,mmu00512,Mucin type O-glycan biosynthesis - Mus musculus (house mouse),3/359,18/5932,0.166666666666667,2.75394614670381,1.89137877835846,0.0913200496700319,0.691709801771178,0.650815639013257,20442/241391/207839,3,Downregulated advanced-passage signature
Organismal Systems,Nervous system,mmu04725,Cholinergic synapse - Mus musculus (house mouse),8/359,77/5932,0.103896103896104,1.71674564989328,1.60662175525347,0.0923858981817669,0.691709801771178,0.650815639013257,14360/12322/12292/60613/66066/14710/16515/231991,8,Downregulated advanced-passage signature
Organismal Systems,Immune system,mmu04640,Hematopoietic cell lineage - Mus musculus (house mouse),5/359,41/5932,0.121951219512195,2.01508254636864,1.65525703450587,0.0992699714529121,0.724670791606258,0.681827961821317,12505/21832/13136/16401/16403,5,Downregulated advanced-passage signature
Environmental Information Processing,Membrane transport,mmu02010,ABC transporters - Mus musculus (house mouse),4/359,30/5932,0.133333333333333,2.20315691736305,1.67667914257899,0.104590030990908,0.729413634309384,0.686290405748916,11303/11307/11304/18671,4,Downregulated advanced-passage signature
