category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,gene_set
,,mmu04082,Neuroactive ligand signaling - Mus musculus (house mouse),15/260,84/5932,0.178571428571429,4.07417582417582,6.07501268143338,0.00000275713121408163,0.000514189448361256,0.000428575044026404,20512/14706/11423/15566/15559/11550/15558/110304/15560/14702/18619/18795/20538/14677/15552,15,Upregulated advanced-passage signature
Human Diseases,Cancer: overview,mmu05200,Pathways in cancer - Mus musculus (house mouse),39/260,422/5932,0.0924170616113744,2.1085308056872,5.058371448536,0.0000051170753127419,0.000514189448361256,0.000428575044026404,12006/14871/56615/218772/170758/16775/16000/21809/14706/13614/19206/14165/12159/14368/22410/18596/14102/16452/16449/22419/14183/94216/22341/16168/17390/22417/21808/16196/14702/14362/11835/14633/209590/78134/18795/14677/20315/12983/12984,39,Upregulated advanced-passage signature
Organismal Systems,Digestive system,mmu04974,Protein digestion and absorption - Mus musculus (house mouse),12/260,58/5932,0.206896551724138,4.72042440318302,6.09567824323549,0.0000057344548144378,0.000514189448361256,0.000428575044026404,12833/12842/12834/12832/12814/12843/94216/12816/373864/329941/12837/665033,12,Upregulated advanced-passage signature
Environmental Information Processing,Signaling molecules and interaction,mmu04080,Neuroactive ligand-receptor interaction - Mus musculus (house mouse),17/260,118/5932,0.14406779661017,3.28696219035202,5.3721112704002,0.0000124795716140013,0.000751577473413466,0.000626437103647303,22355/13614/15566/15559/11550/19220/116903/15558/30878/110304/14803/15560/18619/78134/207911/213438/15552,17,Upregulated advanced-passage signature
,,mmu04081,Hormone signaling - Mus musculus (house mouse),16/260,107/5932,0.149532710280374,3.41164629762761,5.38939557639229,0.0000139698415132615,0.000751577473413466,0.000626437103647303,22355/16000/14706/18162/16452/53945/11550/55994/230103/18125/116903/14702/18619/207911/18795/14677,16,Upregulated advanced-passage signature
Environmental Information Processing,Signaling molecules and interaction,mmu04060,Cytokine-cytokine receptor interaction - Mus musculus (house mouse),18/260,134/5932,0.134328358208955,3.06475315729047,5.17563877026985,0.0000185840031236636,0.000833182806710919,0.000694454853568483,21809/12159/94185/14102/14825/17329/16165/16168/21808/16196/57890/209590/16880/20315/18383/12983/12984/252837,18,Upregulated advanced-passage signature
Environmental Information Processing,Signaling molecules and interaction,mmu04512,ECM-receptor interaction - Mus musculus (house mouse),12/260,70/5932,0.171428571428571,3.91120879120879,5.24544082385989,0.0000427470968115822,0.00164270986318795,0.00136919272494241,12833/12842/16775/12834/329278/12843/94216/12845/319480/21825/109700/665033,12,Upregulated advanced-passage signature
Organismal Systems,Nervous system,mmu04726,Serotonergic synapse - Mus musculus (house mouse),12/260,71/5932,0.169014084507042,3.85612134344529,5.18325402076068,0.0000494668309091164,0.00166332218931904,0.00138637302416339,12289/11688/14706/15566/15559/12286/15558/15560/14702/18795/14677/15552,12,Upregulated advanced-passage signature
,,mmu04518,Integrin signaling - Mus musculus (house mouse),16/260,124/5932,0.129032258064516,2.9439205955335,4.68337124059633,0.0000894420542987273,0.00267332362292863,0.00222820556323145,12833/12842/170758/16775/16000/12834/18596/329278/12843/94216/22341/12845/319480/21825/109700/665033,16,Upregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04310,Wnt signaling pathway - Mus musculus (house mouse),17/260,143/5932,0.118881118881119,2.71231845077999,4.43744829011972,0.000151777469504916,0.00408281392968224,0.00340301063205759,12006/170758/72780/14160/72293/14368/22410/68010/20319/22419/26563/22417/77583/14362/18795/239405/328949,17,Upregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04020,Calcium signaling pathway - Mus musculus (house mouse),18/260,158/5932,0.113924050632911,2.59922103213242,4.36195490465538,0.000168435063322276,0.00411900291215383,0.00343317401795643,12289/76757/12291/14165/18596/15566/15559/11550/19220/18125/14183/22341/213435/12286/15558/15560/18795/20192,18,Upregulated advanced-passage signature
Cellular Processes,Cellular community - eukaryotes,mmu04510,Focal adhesion - Mus musculus (house mouse),19/260,176/5932,0.107954545454545,2.46302447552448,4.21822807494387,0.000226897515081077,0.00508628596306747,0.00423940093967275,12833/12842/12389/170758/16775/16000/12834/18596/329278/12843/94216/18481/22341/213435/12845/319480/21825/109700/665033,19,Upregulated advanced-passage signature
Environmental Information Processing,Signal transduction,mmu04151,PI3K-Akt signaling pathway - Mus musculus (house mouse),25/260,270/5932,0.0925925925925926,2.11253561253561,4.00583813104434,0.000282201918535812,0.00548576096927472,0.00457236191138922,12833/12842/16775/16000/12834/14706/14165/18596/16452/329278/11602/24088/12843/14183/94216/22341/12845/319480/21825/16196/109700/14702/12064/78134/665033,25,Upregulated advanced-passage signature
Cellular Processes,Cellular community - eukaryotes,mmu04550,Signaling pathways regulating pluripotency of stem cells - Mus musculus (house mouse),14/260,110/5932,0.127272727272727,2.90377622377622,4.31478008499239,0.00028550428836374,0.00548576096927472,0.00457236191138922,12006/15903/16000/12159/14368/22410/16452/55994/22419/14183/22417/16392/14362/16880,14,Upregulated advanced-passage signature
Human Diseases,Cancer: specific types,mmu05217,Basal cell carcinoma - Mus musculus (house mouse),9/260,51/5932,0.176470588235294,4.0262443438914,4.64671476010979,0.000313280729951316,0.00561816775712693,0.00468272248979861,12006/19206/12159/14368/22410/22419/22417/14362/14633,9,Upregulated advanced-passage signature
Metabolism,Lipid metabolism,mmu00590,Arachidonic acid metabolism - Mus musculus (house mouse),7/260,34/5932,0.205882352941176,4.6972850678733,4.62863074905418,0.000556938637014094,0.00936353083479946,0.00780446905815803,17001/11688/13850/12409/665270/15446/64292,7,Upregulated advanced-passage signature
