ensembl_gene_id,symbol,trajectory_direction,average_post_log2FC,average_post_fdr
ENSMUSG00000040152,Thbs1,higher,1.58957862629874,0.0000000000000000000000000000000000000000000000000000000000000000000000105008833078236
ENSMUSG00000027559,Car3,higher,3.25565199422609,0.00000000000000000000000000000000000000000000000000000000000000000347090913958549
ENSMUSG00000021803,Cdhr1,higher,3.64168206173403,0.000000000000000000000000000000000000000000000000000000000000000471334942538119
ENSMUSG00000047139,Cd24a,higher,3.88622204708571,0.000000000000000000000000000000000000000000000000000000000000000799175347550371
ENSMUSG00000026185,Igfbp5,lower,-1.42083232551627,0.00000000000000000000000000000000000000000000000000000000000000139346603211572
ENSMUSG00000001119,Col6a1,higher,1.65755521472228,0.00000000000000000000000000000000000000000000000000000000000000169624323064687
ENSMUSG00000029661,Col1a2,higher,1.1531455039159,0.00000000000000000000000000000000000000000000000000000000000000327071952408859
ENSMUSG00000026042,Col5a2,higher,1.14303039925605,0.00000000000000000000000000000000000000000000000000000000000000488864767068851
ENSMUSG00000032332,Col12a1,higher,2.38796824767989,0.0000000000000000000000000000000000000000000000000000000000000402833367735725
ENSMUSG00000031596,Slc7a2,higher,2.23338944286155,0.000000000000000000000000000000000000000000000000000000000000943259583689267
ENSMUSG00000058297,Spock2,higher,1.97172735453425,0.00000000000000000000000000000000000000000000000000000000000579756277209577
ENSMUSG00000070867,Trabd2b,higher,2.70613952043215,0.0000000000000000000000000000000000000000000000000000000000111028119698485
ENSMUSG00000020473,Aebp1,higher,1.40216115139485,0.0000000000000000000000000000000000000000000000000000000000585252720596292
ENSMUSG00000068196,Col8a1,higher,1.60661963457265,0.0000000000000000000000000000000000000000000000000000000000991161911179621
ENSMUSG00000045441,Gprin3,higher,2.08230962328539,0.000000000000000000000000000000000000000000000000000000000170006748141853
ENSMUSG00000044033,Ccdc141,lower,-1.90220977419679,0.000000000000000000000000000000000000000000000000000000000170006748141853
ENSMUSG00000004317,Clcn5,lower,-1.43778461389658,0.000000000000000000000000000000000000000000000000000000000204589724277789
ENSMUSG00000020241,Col6a2,higher,1.56813875903353,0.000000000000000000000000000000000000000000000000000000000282188046028741
ENSMUSG00000031561,Tenm3,higher,1.32712204306696,0.000000000000000000000000000000000000000000000000000000000311068070689047
ENSMUSG00000016918,Sulf1,lower,-2.0202013317488,0.000000000000000000000000000000000000000000000000000000000635123616014102
ENSMUSG00000054555,Adam12,higher,1.92860740822533,0.000000000000000000000000000000000000000000000000000000000954480290930922
ENSMUSG00000019577,Pdk4,higher,2.08009231976543,0.00000000000000000000000000000000000000000000000000000000131088542860272
ENSMUSG00000032625,Thsd7a,higher,1.59437698994625,0.00000000000000000000000000000000000000000000000000000000131088542860272
ENSMUSG00000046743,Fat4,higher,2.13116638193423,0.00000000000000000000000000000000000000000000000000000000186394022160462
ENSMUSG00000024529,Lox,higher,1.16681303164949,0.00000000000000000000000000000000000000000000000000000000216136760653702
ENSMUSG00000027171,Prrg4,lower,-2.30670775103701,0.00000000000000000000000000000000000000000000000000000000669361322723054
ENSMUSG00000028780,Sema3c,lower,-2.49498144830192,0.0000000000000000000000000000000000000000000000000000000121778334751839
ENSMUSG00000062991,Nrg1,higher,2.03883491924685,0.0000000000000000000000000000000000000000000000000000000169737971097489
ENSMUSG00000053580,Tanc2,lower,-1.52327601928147,0.0000000000000000000000000000000000000000000000000000000270631772512379
ENSMUSG00000040209,Zfp704,lower,-2.14283234366814,0.0000000000000000000000000000000000000000000000000000000336607107316838
ENSMUSG00000028381,Ugcg,lower,-1.23419363001972,0.0000000000000000000000000000000000000000000000000000000451277290741128
ENSMUSG00000025701,Alox5,lower,-1.92516055263629,0.0000000000000000000000000000000000000000000000000000000989340866311209
ENSMUSG00000021806,Nid2,higher,1.31130489726659,0.00000000000000000000000000000000000000000000000000000311419076388836
ENSMUSG00000068587,Mgam,lower,-2.58297035241113,0.00000000000000000000000000000000000000000000000000000392084676272545
ENSMUSG00000021253,Tgfb3,higher,1.27133276120983,0.0000000000000000000000000000000000000000000000000000098831080595217
ENSMUSG00000019943,Atp2b1,lower,-1.0975058657679,0.0000000000000000000000000000000000000000000000000000115836307065291
ENSMUSG00000061353,Cxcl12,higher,1.39077652706485,0.0000000000000000000000000000000000000000000000000000129809335523123
ENSMUSG00000027199,Gatm,lower,-1.47259149257637,0.0000000000000000000000000000000000000000000000000000173449825885546
ENSMUSG00000019647,Sema6a,lower,-1.57687496921676,0.0000000000000000000000000000000000000000000000000000315942823932555
ENSMUSG00000031626,Sorbs2,lower,-1.64016733496462,0.0000000000000000000000000000000000000000000000000000350308732715318
ENSMUSG00000029126,Nsg1,higher,1.65752193817776,0.0000000000000000000000000000000000000000000000000000358730199391527
ENSMUSG00000045636,Mtus1,higher,1.55143024499455,0.0000000000000000000000000000000000000000000000000000358730199391527
ENSMUSG00000007655,Cav1,higher,1.23401094387769,0.0000000000000000000000000000000000000000000000000000500173182602834
ENSMUSG00000013846,St3gal1,lower,-1.33276845676461,0.0000000000000000000000000000000000000000000000000000698091925614646
ENSMUSG00000037852,Cpe,higher,1.19204523401497,0.000000000000000000000000000000000000000000000000000138081931811936
ENSMUSG00000035131,Brinp3,higher,1.18747554586497,0.000000000000000000000000000000000000000000000000000172132421908288
ENSMUSG00000059921,Unc5c,higher,1.30820459689732,0.000000000000000000000000000000000000000000000000000263594316488233
ENSMUSG00000027848,Olfml3,higher,1.38100267901313,0.000000000000000000000000000000000000000000000000000951904690320096
ENSMUSG00000055013,Agap1,lower,-1.26484633902873,0.00000000000000000000000000000000000000000000000000142474400718671
ENSMUSG00000070469,Adamtsl3,higher,1.76981654527788,0.000000000000000000000000000000000000000000000000001846863191145
ENSMUSG00000040998,Npnt,lower,-1.16327688051549,0.0000000000000000000000000000000000000000000000000018635438279716
ENSMUSG00000097789,Gm2115,higher,1.64068458300966,0.00000000000000000000000000000000000000000000000000187777466500113
ENSMUSG00000046807,Lrrc75b,higher,2.28782485681738,0.00000000000000000000000000000000000000000000000000264624158457979
ENSMUSG00000036545,Adamts2,higher,1.85903526506772,0.00000000000000000000000000000000000000000000000000319895952754008
ENSMUSG00000049929,Lpar4,higher,2.90284907478081,0.00000000000000000000000000000000000000000000000000336341359529017
